Quarter,Electricity,Stationary,Transport,Fugitives,Industrial,Agriculture,Waste,Land sector
Sep-2001,47.50662803,19.53981059,18.89679493,11.29854043,6.913413557,22.03870733,4.775721421,18.67150258
Dec-2001,44.24660895,19.37894653,19.53782539,10.62269868,6.73804378,22.03870733,4.775721421,18.67150258
Mar-2002,45.36958,18.57610205,18.42676305,9.893618067,6.556727528,21.559605,4.67190139,18.26560035
Jun-2002,46.79594387,19.1659866,18.62336468,10.90164713,6.851662825,21.79915617,4.723811406,18.46855147
Sep-2002,48.5684338,19.82690597,19.52380406,10.9392861,7.33177723,20.59452845,4.116657027,21.87141024
Dec-2002,46.17127245,19.9691515,20.1786582,10.07202895,7.425750907,20.59452845,4.116657027,21.87141024
Mar-2003,45.37286699,19.17275816,19.01984137,9.47876624,7.372499295,20.14682131,4.027164483,21.3959448
Jun-2003,46.36606005,19.66217007,19.23175947,10.47813161,7.4010929,20.37067488,4.071910755,21.63367752
Sep-2003,48.96062947,20.45417007,20.28448975,10.84473863,7.811758584,21.42915239,3.994908843,15.8589618
Dec-2003,46.82310587,20.36453791,20.9702252,10.02376755,7.860178126,21.42915239,3.994908843,15.8589618
Mar-2004,49.9716884,19.43188441,19.77046073,9.408266966,7.675490015,21.19622682,3.951485921,15.68658178
Jun-2004,49.09456457,19.93043385,19.99009573,10.5278842,7.483638649,21.19622682,3.951485921,15.68658178
Sep-2004,51.24222519,20.86287075,20.78995827,11.20625042,7.471333164,21.66976792,3.967171253,21.53735393
Dec-2004,46.27500932,20.89366717,21.0701665,10.64511893,7.496115116,21.66976792,3.967171253,21.53735393
Mar-2005,49.39056559,19.91544024,19.66313322,9.871280404,7.510924322,21.19868601,3.880928399,21.06915059
Jun-2005,49.76568788,20.56421775,20.52183676,11.06885675,7.651899753,21.43422697,3.924049826,21.30325226
Sep-2005,52.44593925,20.73125715,20.54874596,11.39787517,7.805960673,21.24317286,3.902348144,23.83590303
Dec-2005,47.52640091,20.50699031,21.83358884,10.74000987,7.639095719,21.24317286,3.902348144,23.83590303
Mar-2006,50.29755723,19.41450491,20.4998259,10.05492555,7.484011056,20.78136475,3.817514489,23.31773123
